Date,Open,High,Low,Close,Adj Close,Volume
2024-01-22,58300.000000,58900.000000,55800.000000,56400.000000,56339.429688,1934438
2024-01-23,56700.000000,58000.000000,56600.000000,57700.000000,57638.031250,1100723
2024-01-24,57500.000000,57500.000000,56300.000000,56700.000000,56639.105469,927568
2024-01-25,56300.000000,56700.000000,54700.000000,56000.000000,55939.859375,1817363
2024-01-26,55700.000000,57400.000000,55600.000000,56600.000000,56539.214844,904913
2024-01-29,56600.000000,57200.000000,55200.000000,55300.000000,55240.609375,1329616
2024-01-30,55900.000000,56000.000000,53600.000000,54300.000000,54241.683594,2011521
2024-01-31,53700.000000,53900.000000,52200.000000,52500.000000,52443.617188,1794783
2024-02-01,51900.000000,53100.000000,51500.000000,52700.000000,52643.402344,1422821
2024-02-02,53800.000000,56600.000000,53700.000000,56300.000000,56239.535156,2428683
2024-02-05,57000.000000,57400.000000,54600.000000,55000.000000,54940.933594,1564624
2024-02-06,54500.000000,55000.000000,53800.000000,54000.000000,53942.007813,982600
2024-02-07,54400.000000,55700.000000,53600.000000,53800.000000,53742.222656,1256600
2024-02-08,54500.000000,54700.000000,53700.000000,54000.000000,53942.007813,1532750
2024-02-13,54000.000000,55300.000000,54000.000000,54700.000000,54641.253906,957145
2024-02-14,53900.000000,54900.000000,53200.000000,54900.000000,54841.039063,886156
2024-02-15,56800.000000,61400.000000,56700.000000,59300.000000,59236.312500,10199107
2024-02-16,59500.000000,59700.000000,58300.000000,58400.000000,58337.281250,2310632
2024-02-19,58800.000000,59100.000000,58100.000000,58200.000000,58137.496094,1409033
2024-02-20,57900.000000,60000.000000,57800.000000,58700.000000,58636.957031,1943466
2024-02-21,58800.000000,58900.000000,58000.000000,58000.000000,57937.710938,844219
2024-02-22,58600.000000,58900.000000,57700.000000,57900.000000,57837.816406,972001
2024-02-23,58100.000000,58200.000000,56600.000000,57100.000000,57038.675781,1330016
2024-02-26,57500.000000,58000.000000,57000.000000,57100.000000,57038.675781,871467
2024-02-27,57200.000000,57700.000000,56300.000000,56800.000000,56739.000000,1022628
2024-02-28,56800.000000,57400.000000,55200.000000,55600.000000,55600.000000,1463434
2024-02-29,55100.000000,55300.000000,53000.000000,53300.000000,53300.000000,3056344
2024-03-04,53600.000000,54900.000000,52900.000000,53100.000000,53100.000000,1830422
2024-03-05,52600.000000,52900.000000,51600.000000,51700.000000,51700.000000,1737655
2024-03-06,51400.000000,52300.000000,51400.000000,51900.000000,51900.000000,902578
2024-03-07,52200.000000,53700.000000,52000.000000,52900.000000,52900.000000,1425978
2024-03-08,53600.000000,54200.000000,53000.000000,53200.000000,53200.000000,1466862
2024-03-11,53200.000000,54800.000000,52700.000000,54600.000000,54600.000000,1047193
2024-03-12,55000.000000,56000.000000,54800.000000,55800.000000,55800.000000,1388337
2024-03-13,55900.000000,56000.000000,54100.000000,54600.000000,54600.000000,1088171
2024-03-14,54600.000000,55800.000000,54600.000000,54900.000000,54900.000000,1792414
2024-03-15,55000.000000,55000.000000,53900.000000,54100.000000,54100.000000,926038
2024-03-18,54200.000000,54300.000000,52700.000000,53000.000000,53000.000000,1168724
2024-03-19,52700.000000,52800.000000,51700.000000,52000.000000,52000.000000,1116159
2024-03-20,52400.000000,53200.000000,52300.000000,52900.000000,52900.000000,869967
2024-03-21,53900.000000,54200.000000,52800.000000,53600.000000,53600.000000,1359646
2024-03-22,53600.000000,54300.000000,53300.000000,53600.000000,53600.000000,881388
2024-03-25,53400.000000,54500.000000,53100.000000,53800.000000,53800.000000,717693
2024-03-26,54200.000000,55200.000000,53900.000000,54900.000000,54900.000000,1170288
2024-03-27,54200.000000,55200.000000,53900.000000,54800.000000,54800.000000,779339
2024-03-28,54800.000000,55700.000000,54400.000000,54400.000000,54400.000000,955506
2024-03-29,54500.000000,54900.000000,53500.000000,53700.000000,53700.000000,870563
2024-04-01,54100.000000,54500.000000,53600.000000,53800.000000,53800.000000,775737
2024-04-02,53200.000000,53200.000000,51000.000000,51200.000000,51200.000000,2856932
2024-04-03,51200.000000,52000.000000,51000.000000,51000.000000,51000.000000,1332410
2024-04-04,51200.000000,51500.000000,49100.000000,49300.000000,49300.000000,2658438
2024-04-05,48400.000000,49100.000000,48200.000000,48750.000000,48750.000000,1559612
2024-04-08,48850.000000,49750.000000,48300.000000,49150.000000,49150.000000,1006988
2024-04-09,49100.000000,50100.000000,48850.000000,49250.000000,49250.000000,775713
2024-04-11,48450.000000,48800.000000,47700.000000,48050.000000,48050.000000,2005085
2024-04-12,48050.000000,48450.000000,47650.000000,47850.000000,47850.000000,946914
2024-04-15,47100.000000,48000.000000,46850.000000,47750.000000,47750.000000,801117
2024-04-16,47200.000000,47400.000000,46600.000000,46750.000000,46750.000000,1144123
2024-04-17,46700.000000,48000.000000,46700.000000,46900.000000,46900.000000,1043806
2024-04-18,47350.000000,50200.000000,46900.000000,49100.000000,49100.000000,2262675
2024-04-19,48350.000000,49600.000000,47700.000000,48600.000000,48600.000000,1184289
2024-04-22,49450.000000,49700.000000,48450.000000,49000.000000,49000.000000,641194
2024-04-23,48700.000000,48750.000000,47050.000000,47500.000000,47500.000000,1782455
2024-04-24,48000.000000,48400.000000,47850.000000,48100.000000,48100.000000,725443
2024-04-25,47500.000000,47900.000000,47100.000000,47400.000000,47400.000000,847788
2024-04-26,47850.000000,47900.000000,47150.000000,47300.000000,47300.000000,656101
2024-04-29,47650.000000,48600.000000,47600.000000,48500.000000,48500.000000,950410
2024-04-30,48350.000000,48850.000000,48300.000000,48600.000000,48600.000000,1015126
2024-05-02,48150.000000,48550.000000,48050.000000,48300.000000,48300.000000,889047
2024-05-03,49000.000000,50300.000000,49000.000000,49150.000000,49150.000000,1099314
